Lineages	53A_F	53B_F	53C_F	69A	69B_F	69C_F	sum
BA.2.73	0.00010043835687765768	0.00020878352782750665	0.0	8.386275714785722e-10	0.0	0.00010381647356197723	0.000413039196894713
BA.2.75.5	0.0001004383568776577	0.0002087835278275066	0.0	8.386275714656135e-10	0.0	0.00010381647356197719	0.00041303919689471296
BA.2.10	0.00010043835687765533	0.00020878352782750798	0.0	8.386275714927747e-10	0.0	0.00010381647356197728	0.0004130391968947121
BA.2.75	0.00010043835687765533	0.00020878352782750798	0.0	8.386275714927747e-10	0.0	0.00010381647356197728	0.0004130391968947121
BA.2.75.3	0.00010043835687765521	0.00020878352782750795	0.0	8.386275714889013e-10	0.0	0.0001038164735619773	0.00041303919689471193
BA.2.1	0.00010043835687763567	0.00020878352782750798	0.0	8.386275714632563e-10	0.0	0.0001038164735619771	0.0004130391968946922
BM.5	0.00010043835687763541	0.00020878352782750798	0.0	8.38627571486935e-10	0.0	0.00010381647356197725	0.0004130391968946921
BA.2.75.7	0.00010043835687763507	0.00020878352782750795	0.0	8.38627571486935e-10	0.0	0.00010381647356197728	0.00041303919689469177
BQ.1.1.24	9.43431820611899e-11	0.0002665185143977468	4.892488852154622e-10	0.0	0.0	0.0	0.0002665190979898141
BQ.1.31	6.916235745765487e-05	9.593582768148866e-05	7.496325735978655e-05	0.0	0.0	5.366976438772232e-11	0.00024006149616869445
BE.1	6.916235745765489e-05	9.593582768148865e-05	7.496325735977968e-05	0.0	0.0	5.366976438770001e-11	0.0002400614961686876
BE.1.1.1	6.916235745765487e-05	9.593582768148865e-05	7.496325735977968e-05	0.0	0.0	5.366976438770073e-11	0.0002400614961686876
BE.1.1	6.916235745765489e-05	9.593582768148865e-05	7.496325735977967e-05	0.0	0.0	5.366976438770073e-11	0.0002400614961686876
BA.5.3.1	6.916235745765489e-05	9.593582768148866e-05	7.496325735977952e-05	0.0	0.0	5.366976438770289e-11	0.00024006149616868748
BQ.1.27	6.916235745765489e-05	9.593582768148862e-05	7.496325735977954e-05	0.0	0.0	5.3669764387703605e-11	0.00024006149616868743
BQ.1	6.916235745765489e-05	9.593582768148853e-05	7.496325735977953e-05	0.0	0.0	5.3669764387703605e-11	0.00024006149616868732
BQ.1.1.44	6.275231486009053e-05	0.0	8.249648193500303e-05	0.0	0.0	0.0	0.00014524879679509356
BQ.1.22	6.275231486009053e-05	0.0	8.249648193500303e-05	0.0	0.0	0.0	0.00014524879679509356
BQ.1.1.46	6.275231486009053e-05	0.0	8.24964819350029e-05	0.0	0.0	0.0	0.00014524879679509342
BQ.1.1	6.275231486009053e-05	0.0	8.249648193500284e-05	0.0	0.0	0.0	0.00014524879679509337
XBB.1.3	9.627567599328736e-12	3.7518529409289894e-05	1.6405433971006754e-05	2.6737813465646946e-05	0.0	0.0	8.066178647351119e-05
XBB.1.5	9.62756759933113e-12	3.7518529409289894e-05	1.6405433971006754e-05	2.6737813465646943e-05	0.0	0.0	8.066178647351119e-05
XBB.1	9.627567599321552e-12	3.7518529409289894e-05	1.6405433971006754e-05	2.6737813465646943e-05	0.0	0.0	8.066178647351119e-05
XBB.2.4	9.62756759931944e-12	3.7518529409289894e-05	1.640543397100675e-05	2.6737813465646946e-05	0.0	0.0	8.066178647351119e-05
XBB	9.627567599378319e-12	3.7518529409289894e-05	1.640543397100675e-05	2.6737813465646946e-05	0.0	0.0	8.066178647351119e-05
